Fecha,Nombre de la cartera,Tipo de campaña,Nombre de campaña,País,Estado,Divisa,Presupuesto,Tipo de orientación,Estrategia de pujas,Impresiones,Impresiones del año pasado,Clics,Clics del año pasado,Porcentaje de clics (CTR),Gasto,Gasto del año pasado,Coste por clic (CPC),Coste por clic (CPC) del año pasado,Pedidos totales de 7 días (#),"Coste publicitario de las ventas (ACOS) total ",Retorno de la inversión publicitaria (ROAS) total,Ventas totales de 7 días (€)
"Jun 01, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,79,,2,,2.532%,€0.06,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 01, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,371,,4,,1.078%,€0.16,,€0.04,€0.0,0,0.0%,0.0,€0.0
"Jun 01, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,8597,,93,,1.082%,€25.28,,€0.271828,€0.0,5,22.328%,4.48,€113.22
"Jun 02, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,61,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 02, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,156,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 02, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,10668,,103,,0.966%,€25.28,,€0.2454369,€0.0,3,47.059%,2.13,€53.72
"Jun 03, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,86,,2,,2.326%,€0.06,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 03, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,9871,,125,,1.266%,€24.89,,€0.19912,€0.0,12,7.364%,13.58,€338.01
"Jun 03, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,289,,4,,1.384%,€0.12,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 04, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,29,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 04, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,10336,,99,,0.958%,€18.05,,€0.18232320000000002,€0.0,11,7.091%,14.1,€254.54
"Jun 04, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,143,,1,,0.699%,€0.05,,€0.05,€0.0,0,0.0%,0.0,€0.0
"Jun 05, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,174,,6,,3.4479999999999995%,€0.18,,€0.03,€0.0,1,1.089%,91.83,€16.53
"Jun 05, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,632,,2,,0.316%,€0.08,,€0.04,€0.0,0,0.0%,0.0,€0.0
"Jun 05, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,3351,,36,,1.0739999999999998%,€7.8,,€0.2166667,€0.0,3,13.483%,7.42,€57.85
"Jun 06, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,623,,4,,0.642%,€0.12,,€0.03,€0.0,1,0.726%,137.75,€16.53
"Jun 06, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1441,,20,,1.388%,€5.06,,€0.253,€0.0,2,9.875%,10.13,€51.24
"Jun 06, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,138,,2,,1.4489999999999998%,€0.06,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 07, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,571,,4,,0.701%,€0.16,,€0.04,€0.0,1,0.968%,103.31,€16.53
"Jun 07, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,112,,1,,0.893%,€0.02,,€0.02,€0.0,0,0.0%,0.0,€0.0
"Jun 07, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1433,,27,,1.884%,€5.08,,€0.1881481,€0.0,4,6.471%,15.45,€78.51
"Jun 08, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,3215,,29,,0.902%,€5.12,,€0.17655169999999998,€0.0,0,0.0%,0.0,€0.0
"Jun 08, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,612,,4,,0.654%,€0.14,,€0.035,€0.0,0,0.0%,0.0,€0.0
"Jun 08, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,97,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 09, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,764,,4,,0.524%,€0.12,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 09, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,173,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 09, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1823,,21,,1.1520000000000001%,€5.07,,€0.2414286,€0.0,1,24.54%,4.07,€20.66
"Jun 10, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,2072,,20,,0.9650000000000001%,€5.11,,€0.2555,€0.0,3,9.512%,10.51,€53.72
"Jun 10, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,153,,1,,0.654%,€0.03,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 10, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,247,,1,,0.40499999999999997%,€0.03,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 11, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,177,,4,,2.26%,€0.12,,€0.03,€0.0,2,0.363%,275.5,€33.06
"Jun 11, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,629,,4,,0.636%,€0.14,,€0.035,€0.0,0,0.0%,0.0,€0.0
"Jun 11, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1211,,22,,1.817%,€5.04,,€0.2290909,€0.0,3,7.437%,13.45,€67.77
"Jun 12, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,699,,7,,1.001%,€0.23,,€0.0328571,€0.0,1,1.391%,71.87,€16.53
"Jun 12, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,2057,,20,,0.972%,€5.1,,€0.255,€0.0,1,30.853%,3.24,€16.53
"Jun 12, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,213,,4,,1.8780000000000001%,€0.12,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 13, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1576,,19,,1.206%,€4.72,,€0.2484211,€0.0,0,0.0%,0.0,€0.0
"Jun 13, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,143,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 13, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,445,,2,,0.449%,€0.06,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 14, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,137,,1,,0.73%,€0.03,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 14, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1211,,17,,1.4040000000000001%,€4.89,,€0.2876471,€0.0,2,11.164%,8.96,€43.8
"Jun 14, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,459,,6,,1.307%,€0.2,,€0.0333333,€0.0,2,0.605%,165.3,€33.06
"Jun 15, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,157,,2,,1.274%,€0.06,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 15, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1014,,21,,2.0709999999999997%,€5.28,,€0.2514286,€0.0,1,15.212%,6.57,€34.71
"Jun 15, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,747,,7,,0.9369999999999999%,€0.24,,€0.0342857,€0.0,0,0.0%,0.0,€0.0
"Jun 16, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,136,,1,,0.735%,€0.03,,€0.03,€0.0,0,0.0%,0.0,€0.0
"Jun 16, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1507,,17,,1.1280000000000001%,€4.96,,€0.2917647,€0.0,2,9.68%,10.33,€51.24
"Jun 16, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,745,,7,,0.9400000000000001%,€0.27,,€0.0385714,€0.0,0,0.0%,0.0,€0.0
"Jun 17, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,38,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 17, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1107,,20,,1.807%,€4.89,,€0.2445,€0.0,5,4.733%,21.13,€103.31
"Jun 17, 2025",No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,€5.0,Segmentación manual,Pujas dinámicas: solo a la baja,9,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 18, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1420,,30,,2.113%,€4.97,,€0.16566669999999997,€0.0,2,9.253%,10.81,€53.71
"Jun 19, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1969,,24,,1.2189999999999999%,€4.93,,€0.2054167,€0.0,2,9.621%,10.39,€51.24
"Jun 20, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,2967,,34,,1.146%,€5.24,,€0.1541176,€0.0,0,0.0%,0.0,€0.0
"Jun 21, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1711,,29,,1.695%,€4.74,,€0.16344830000000002,€0.0,1,22.942999999999998%,4.36,€20.66
"Jun 22, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1979,,27,,1.3639999999999999%,€5.24,,€0.1940741,€0.0,2,15.85%,6.31,€33.06
"Jun 23, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1162,,17,,1.463%,€4.63,,€0.2723529,€0.0,0,0.0%,0.0,€0.0
"Jun 24, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1824,,27,,1.48%,€4.95,,€0.1833333,€0.0,1,23.959%,4.17,€20.66
"Jun 25, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,2041,,24,,1.176%,€5.39,,€0.2245833,€0.0,1,26.089000000000002%,3.83,€20.66
"Jun 26, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1284,,20,,1.558%,€4.63,,€0.23149999999999998,€0.0,2,9.036%,11.07,€51.24
"Jun 27, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,7029,,86,,1.224%,€20.09,,€0.2336047,€0.0,3,37.397999999999996%,2.67,€53.72
"Jun 27, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,19,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 28, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,5272,,82,,1.555%,€18.29,,€0.22304880000000002,€0.0,4,26.035999999999998%,3.84,€70.25
"Jun 28, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,155,,4,,2.581%,€0.53,,€0.1325,€0.0,0,0.0%,0.0,€0.0
"Jun 29, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,5241,,82,,1.5650000000000002%,€18.18,,€0.2217073,€0.0,7,12.789%,7.82,€142.15
"Jun 29, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,336,,12,,3.5709999999999997%,€1.45,,€0.1208333,€0.0,0,0.0%,0.0,€0.0
"Jun 30, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,46,,2,,4.348%,€0.16,,€0.08,€0.0,0,0.0%,0.0,€0.0
"Jun 30, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,9561,,94,,0.983%,€17.26,,€0.183617,€0.0,8,10.088999999999999%,9.91,€171.07
