ASIN (parent),ASIN (child),Título,Sesiones: aplicaciones de dispositivos móviles,Sesiones: aplicaciones de dispositivos móviles - B2B,Sesiones: navegador,Sesiones - Navegador - B2B,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: aplicación móvil,Porcentaje de sesiones - Aplicación móvil - B2B,Porcentaje de sesiones: navegador,Porcentaje de sesiones: navegador - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas de página: aplicación de dispositivo móvil	,Visitas: aplicaciones de dispositivos móviles - B2B,Visitas: navegador,Visitas - Navegador - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas a la página: aplicación móvil,Porcentaje de visitas: aplicación móvil - B2B,Porcentaje de visitas: navegador,Porcentaje de visitas: navegador - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BTDS4GYS,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,"7,484",78,"3,591",80,"11,075",158,27.38%,18.31%,26.62%,13.07%,27.13%,15.22%,"11,675",118,"5,023",114,"16,698",232,28.82%,18.85%,27.98%,13.13%,28.56%,15.53%,89.64%,34.18%,542,1,4.89%,0.63%,"13.905,65 €","25,00 €",529,1
B094X476RL,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,"4,547",98,"2,348",139,"6,895",237,16.64%,23.00%,17.41%,22.71%,16.89%,22.83%,"7,023",154,"3,120",196,"10,143",350,17.33%,24.60%,17.38%,22.58%,17.35%,23.43%,98.24%,96.71%,442,16,6.41%,6.75%,"8.991,00 €","326,53 €",433,15
B07ZTHSVCK,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,"3,270",60,"1,694",98,"4,964",158,11.96%,14.08%,12.56%,16.01%,12.16%,15.22%,"4,648",95,"2,153",139,"6,801",234,11.47%,15.18%,12.00%,16.01%,11.63%,15.66%,99.17%,100.00%,224,11,4.51%,6.96%,"9.394,80 €","441,90 €",221,10
B0BTDTVCG2,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,"1,744",24,765,35,"2,509",59,6.38%,5.63%,5.67%,5.72%,6.15%,5.68%,"2,636",44,974,43,"3,610",87,6.51%,7.03%,5.43%,4.95%,6.17%,5.82%,92.99%,48.39%,192,5,7.65%,8.47%,"3.839,50 €","96,53 €",185,4
B0C7B3V62X,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,"3,306",63,"1,688",60,"4,994",123,12.10%,14.79%,12.51%,9.80%,12.23%,11.85%,"4,744",88,"2,155",80,"6,899",168,11.71%,14.06%,12.01%,9.22%,11.80%,11.24%,98.37%,100.00%,177,5,3.54%,4.07%,"7.421,41 €","199,95 €",175,5
B094X476RL,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,"1,664",16,792,42,"2,456",58,6.09%,3.76%,5.87%,6.86%,6.02%,5.59%,"2,462",17,"1,046",70,"3,508",87,6.08%,2.72%,5.83%,8.06%,6.00%,5.82%,91.49%,60.78%,157,2,6.39%,3.45%,"3.127,87 €","33,06 €",152,2
B094X476RL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,577,9,317,22,894,31,2.11%,2.11%,2.35%,3.59%,2.19%,2.99%,762,11,417,32,"1,179",43,1.88%,1.76%,2.32%,3.69%,2.02%,2.88%,99.02%,100.00%,120,3,13.42%,9.68%,"2.403,28 €","58,00 €",116,3
B094X476RL,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,828,12,490,33,"1,318",45,3.03%,2.82%,3.63%,5.39%,3.23%,4.34%,"1,110",13,618,44,"1,728",57,2.74%,2.08%,3.44%,5.07%,2.96%,3.82%,55.40%,26.47%,60,1,4.55%,2.22%,"1.177,59 €","16,53 €",59,1
B094X476RL,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,394,9,193,18,587,27,1.44%,2.11%,1.43%,2.94%,1.44%,2.60%,515,12,253,32,768,44,1.27%,1.92%,1.41%,3.69%,1.31%,2.95%,99.37%,100.00%,59,2,10.05%,7.41%,"1.184,66 €","40,00 €",53,2
B0D22TBKFH,B0D22R7L7D, ,"1,161",22,512,21,"1,673",43,4.25%,5.16%,3.80%,3.43%,4.10%,4.14%,"1,679",29,706,26,"2,385",55,4.14%,4.63%,3.93%,3.00%,4.08%,3.68%,99.16%,100.00%,53,3,3.17%,6.98%,"1.748,47 €","98,97 €",53,3
B0F1F1WKKS,B0F1F2PQPK,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,413,7,209,10,622,17,1.51%,1.64%,1.55%,1.63%,1.52%,1.64%,566,7,297,12,863,19,1.40%,1.12%,1.65%,1.38%,1.48%,1.27%,99.73%,100.00%,49,1,7.88%,5.88%,"1.982,31 €","42,00 €",47,1
B0BTDTN52N,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,246,3,108,4,354,7,0.90%,0.70%,0.80%,0.65%,0.87%,0.67%,372,4,142,7,514,11,0.92%,0.64%,0.79%,0.81%,0.88%,0.74%,92.89%,100.00%,36,1,10.17%,14.29%,"792,36 €","22,00 €",35,1
B0183RZ2VI,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,103,1,52,7,155,8,0.38%,0.23%,0.39%,1.14%,0.38%,0.77%,162,1,82,17,244,18,0.40%,0.16%,0.46%,1.96%,0.42%,1.20%,86.32%,53.33%,29,0,18.71%,0.00%,"585,70 €","0,00 €",27,0
B0D87X42RN,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,286,4,137,12,423,16,1.05%,0.94%,1.02%,1.96%,1.04%,1.54%,387,9,173,17,560,26,0.96%,1.44%,0.96%,1.96%,0.96%,1.74%,97.99%,100.00%,19,0,4.49%,0.00%,"418,00 €","0,00 €",19,0
B0F1F1WKKS,B0F1F4FM85,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),612,11,215,20,827,31,2.24%,2.58%,1.59%,3.27%,2.03%,2.99%,850,14,283,22,"1,133",36,2.10%,2.24%,1.58%,2.53%,1.94%,2.41%,99.52%,100.00%,19,0,2.30%,0.00%,"603,54 €","0,00 €",19,0
B0F1F1WKKS,B0F1F2KX6J,TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,273,3,125,4,398,7,1.00%,0.70%,0.93%,0.65%,0.97%,0.67%,355,4,155,6,510,10,0.88%,0.64%,0.86%,0.69%,0.87%,0.67%,99.11%,100.00%,12,0,3.02%,0.00%,"556,77 €","0,00 €",11,0
B019Y391L2,B019Y391L2,TUBOPLUS Reposición Junta TÓRICA para TuboX3 y TuboX3 Crystal Ball Pressurizers,50,1,53,0,103,1,0.18%,0.23%,0.39%,0.00%,0.25%,0.10%,95,1,94,0,189,1,0.23%,0.16%,0.52%,0.00%,0.32%,0.07%,99.40%,100.00%,7,0,6.80%,0.00%,"28,00 €","0,00 €",7,0
B01LBC2HV0,B01LBC2GWK,TUBOPLUS Goma Fija-Grip DE Color Rosa para Sujetar EL Grip U OVERGRIP Y NO TENGAS LA Necesidad DE Poner LA Cinta Aislante!!,38,0,64,1,102,1,0.14%,0.00%,0.47%,0.16%,0.25%,0.10%,53,0,87,1,140,1,0.13%,0.00%,0.48%,0.12%,0.24%,0.07%,97.64%,100.00%,5,0,4.90%,0.00%,"15,00 €","0,00 €",3,0
B0F1F1WKKS,B0F1F1D2PR,TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),301,5,108,5,409,10,1.10%,1.17%,0.80%,0.82%,1.00%,0.96%,361,5,138,9,499,14,0.89%,0.80%,0.77%,1.04%,0.85%,0.94%,99.56%,100.00%,3,0,0.73%,0.00%,"108,53 €","0,00 €",3,0
B08B136DB2,B08B136DB2,REPOSICIÓN Junta TÓRICA para TUBOX4,17,0,25,0,42,0,0.06%,0.00%,0.19%,0.00%,0.10%,0.00%,38,0,30,0,68,0,0.09%,0.00%,0.17%,0.00%,0.12%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0
B0D22TBKFH,B0CZMGFD3S, ,19,0,3,1,22,1,0.07%,0.00%,0.02%,0.16%,0.05%,0.10%,22,0,3,1,25,1,0.05%,0.00%,0.02%,0.12%,0.04%,0.07%,100.00%,100.00%,0,0,0.00%,0.00%,"0,00 €","0,00 €",0,0