approval_date,reimbursement_id,case_id,order_id,reason,sku,fnsku,asin,product_name,condition,currency_unit,amount_per_unit,amount_total,quantity_reimbursed_cash,quantity_reimbursed_inventory,quantity_reimbursed_total,original_reimbursement_id,original_reimbursement_type,approval_date_only,approval_month,approval_timezone,approval_hour,approval_weekday
2025-04-08 17:37:38+00:00,6896092472,No case ID,408-3225424-2101112,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.83,11.83,1,0,1,No original ID,Unknown,2025-04-08,2025-04,UTC,17,Tuesday
2025-04-01 08:46:14+00:00,6876991802,No case ID,407-3005996-2374745,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.,NewItem,EUR,21.64,21.64,1,0,1,No original ID,Unknown,2025-04-01,2025-04,UTC,8,Tuesday
2025-03-31 08:24:28+00:00,6874393452,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,-5.44,-5.44,-1,1,0,6625151312.0,CustomerReturn,2025-03-31,2025-03,UTC,8,Monday
2025-03-30 06:46:27+00:00,6871448912,No case ID,404-0314148-1292379,CustomerReturn,84-F0A5-X7S1,X001T0EPOZ,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,22.3,22.3,1,0,1,No original ID,Unknown,2025-03-30,2025-03,UTC,6,Sunday
2025-03-28 11:07:53+00:00,6867590372,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,-8.37,-8.37,-1,1,0,6865689192.0,CustomerReturn,2025-03-28,2025-03,UTC,11,Friday
2025-03-28 09:44:01+00:00,6867428952,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco,NewItem,EUR,-14.26,-14.26,-1,1,0,6087275042.0,CustomerReturn,2025-03-28,2025-03,UTC,9,Friday
2025-03-28 09:16:12+00:00,6866988302,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Tennis- und Padelballdrucker | Weiß,NewItem,EUR,-5.23,-5.23,-1,1,0,6372766402.0,CustomerReturn,2025-03-28,2025-03,UTC,9,Friday
2025-03-27 23:53:35+00:00,6865689192,No case ID,408-4129490-6060308,CustomerReturn,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,8.37,8.37,1,0,1,No original ID,Unknown,2025-03-27,2025-03,UTC,23,Thursday
2025-03-27 10:10:19+00:00,6864495152,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,-8.37,-8.37,-1,1,0,6716861132.0,CustomerReturn,2025-03-27,2025-03,UTC,10,Thursday
2025-03-27 09:45:52+00:00,6864417752,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc,NewItem,EUR,-9.2,-9.2,-1,1,0,6048480952.0,CustomerReturn,2025-03-27,2025-03,UTC,9,Thursday
2025-03-27 08:37:12+00:00,6864160772,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc,NewItem,EUR,-9.2,-9.2,-1,1,0,6047999012.0,CustomerReturn,2025-03-27,2025-03,UTC,8,Thursday
2025-03-25 09:46:26+00:00,6858941772,No case ID,No order ID,Reimbursement_Reversal,IB-IKLG-TV8H,X000GERVU5,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,NewItem,EUR,-11.56,-11.56,-1,1,0,5427029892.0,CustomerReturn,2025-03-25,2025-03,UTC,9,Tuesday
2025-03-24 10:03:42+00:00,6856364932,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,-10.22,-10.22,-1,1,0,5662344202.0,CustomerReturn,2025-03-24,2025-03,UTC,10,Monday
2025-03-24 09:07:14+00:00,6856251222,No case ID,No order ID,Reimbursement_Reversal,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco,NewItem,EUR,-14.26,-14.26,-1,1,0,5677027662.0,CustomerReturn,2025-03-24,2025-03,UTC,9,Monday
2025-03-16 19:04:14+00:00,6835471092,No case ID,404-0219501-7180306,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,TuboPlus - TUBOX3 BLUE 2020 Bouteille de tennis et bouteille de pressuriseur à palette - Économisez des balles par un tube !! - Plus de vie pour vos balles - Fabriqué à Zaragoza - Espagne,NewItem,EUR,8.87,8.87,1,0,1,No original ID,Unknown,2025-03-16,2025-03,UTC,19,Sunday
2025-03-13 16:16:52+00:00,6827301822,No case ID,406-7957011-3012344,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.,NewItem,EUR,20.85,20.85,1,0,1,No original ID,Unknown,2025-03-13,2025-03,UTC,16,Thursday
2025-03-07 11:58:21+00:00,6810239482,No case ID,No order ID,Reimbursement_Reversal,MD-R60M-OYR1,X002326XGB,B0786KK4TG,TuboPlus- TUBOX3 BLU 2020 Pallina da tennis e paddle Pressurizer Bottle - Salva le palle da un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -,NewItem,EUR,-9.39,-9.39,-1,1,0,6698261792.0,CustomerReturn,2025-03-07,2025-03,UTC,11,Friday
2025-03-05 12:55:50+00:00,6804513412,No case ID,No order ID,Reimbursement_Reversal,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (Incluye Bomba de Aire),NewItem,EUR,-26.3,-26.3,-1,0,-1,6675092142.0,CustomerReturn,2025-03-05,2025-03,UTC,12,Wednesday
2025-02-26 09:41:35+00:00,6783614212,No case ID,No order ID,Reimbursement_Reversal,84-F0A5-X7S1,X001T0EPOZ,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,-26.87,-26.87,-1,1,0,5419645472.0,CustomerReturn,2025-02-26,2025-02,UTC,9,Wednesday
2025-02-20 12:27:26+00:00,6767051532,No case ID,No order ID,Reimbursement_Reversal,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,-22.31,-22.31,-1,1,0,6764425512.0,CustomerReturn,2025-02-20,2025-02,UTC,12,Thursday
2025-02-19 20:03:33+00:00,6764425512,No case ID,402-5416094-9421906,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,22.31,22.31,1,0,1,No original ID,Unknown,2025-02-19,2025-02,UTC,20,Wednesday
2025-02-19 18:33:54+00:00,6763990162,No case ID,171-0972026-5930715,CustomerReturn,35-DQ86-IJB4,X001D1A0DZ,B09266N893,TuboPlus - TuboX3 Crystal + Bomba con Manometro BETO - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,18.11,18.11,1,0,1,No original ID,Unknown,2025-02-19,2025-02,UTC,18,Wednesday
2025-02-18 07:15:42+00:00,6759111902,No case ID,No order ID,Lost_Warehouse,MD-R60M-OYR1,X002326XGB,B0786KK4TG,TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul,NewItem,EUR,9.54,9.54,1,0,1,No original ID,Unknown,2025-02-18,2025-02,UTC,7,Tuesday
2025-02-17 06:35:21+00:00,6755202162,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,NewItem,EUR,13.46,13.46,1,0,1,No original ID,Unknown,2025-02-17,2025-02,UTC,6,Monday
2025-02-17 05:21:56+00:00,6754690772,No case ID,No order ID,Lost_Warehouse,TUBOX3-PINK,X001PQRHT3,B0BTDTN52N,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Rosa,NewItem,EUR,9.77,9.77,1,0,1,No original ID,Unknown,2025-02-17,2025-02,UTC,5,Monday
2025-02-17 03:18:12+00:00,6754420152,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.99,11.99,1,0,1,No original ID,Unknown,2025-02-17,2025-02,UTC,3,Monday
2025-02-16 03:56:00+00:00,6751035382,No case ID,No order ID,Lost_Warehouse,IB-IKLG-TV8H,X000GERVU5,B0183RZ2VI,TUBOPLUS- TUBOX3 Naranja 2020 Bote Presurizador de Pelotas de Tenis y Padel - Ahorra Bolas por un Tubo!! - Más Vida para Tus Bolas – Made in Zaragoza-Spain –,NewItem,EUR,8.27,8.27,1,0,1,No original ID,Unknown,2025-02-16,2025-02,UTC,3,Sunday
2025-02-15 22:30:57+00:00,6750177242,No case ID,405-7443867-0833115,CustomerReturn,MK-78DJ-J0C2,X0020AR9P5,B0D22R7L7D,TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire),NewItem,EUR,21.21,21.21,1,0,1,No original ID,Unknown,2025-02-15,2025-02,UTC,22,Saturday
2025-02-15 05:17:35+00:00,6747899842,No case ID,No order ID,Lost_Warehouse,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (pompe à air incluse),NewItem,EUR,26.57,26.57,1,0,1,No original ID,Unknown,2025-02-15,2025-02,UTC,5,Saturday
2025-02-14 21:54:13+00:00,6746956742,No case ID,403-8350639-2405965,CustomerReturn,MK-78DJ-J0C2,X0020AR9P5,B0D22R7L7D,TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire),NewItem,EUR,21.21,21.21,1,0,1,No original ID,Unknown,2025-02-14,2025-02,UTC,21,Friday
2025-02-12 20:01:50+00:00,6739256672,No case ID,402-4656533-0538743,CustomerReturn,35-DQ86-IJB4,X001D1A0DZ,B09266N893,"TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle",NewItem,EUR,24.2,24.2,1,0,1,No original ID,Unknown,2025-02-12,2025-02,UTC,20,Wednesday
2025-02-11 10:48:10+00:00,6734705432,No case ID,No order ID,Reimbursement_Reversal,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,-22.31,-22.31,-1,1,0,6732653552.0,CustomerReturn,2025-02-11,2025-02,UTC,10,Tuesday
2025-02-10 20:25:28+00:00,6732653552,No case ID,407-0531310-9029926,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,22.31,22.31,1,0,1,No original ID,Unknown,2025-02-10,2025-02,UTC,20,Monday
2025-02-06 01:04:41+00:00,6717617642,No case ID,404-0925334-3901160,CustomerReturn,4R-VSV0-WZ9Z,X00231GYQL,B0D87X42RN,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Dorado,NewItem,EUR,9.66,9.66,1,0,1,No original ID,Unknown,2025-02-06,2025-02,UTC,1,Thursday
2025-02-05 17:25:27+00:00,6716597822,No case ID,404-0925334-3901160,CustomerReturn,4R-VSV0-WZ9Z,X00231GYQL,B0D87X42RN,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Dorado,NewItem,EUR,9.66,9.66,1,0,1,No original ID,Unknown,2025-02-05,2025-02,UTC,17,Wednesday
2025-02-05 16:30:56+00:00,6716861132,No case ID,406-4926111-6648303,CustomerReturn,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco,NewItem,EUR,8.37,8.37,1,0,1,No original ID,Unknown,2025-02-05,2025-02,UTC,16,Wednesday
2025-02-01 05:50:39+00:00,6702399592,No case ID,404-1562108-9209952,CustomerReturn,35-DQ86-IJB4,X001D1A0DZ,B09266N893,"TUBOPLUS 35-DQ86-IJB4 Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Transparent, 3 Boules",NewItem,EUR,20.26,20.26,1,0,1,No original ID,Unknown,2025-02-01,2025-02,UTC,5,Saturday
2025-01-30 21:59:26+00:00,6698261792,No case ID,408-9822095-1375515,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,TuboPlus- TUBOX3 BLU 2020 Pallina da tennis e paddle Pressurizer Bottle - Salva le palle da un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -,NewItem,EUR,9.39,9.39,1,0,1,No original ID,Unknown,2025-01-30,2025-01,UTC,21,Thursday
2025-01-27 12:53:59+00:00,6685185612,No case ID,No order ID,Reimbursement_Reversal,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,NewItem,EUR,-20.64,-20.64,-1,1,0,6459889592.0,CustomerReturn,2025-01-27,2025-01,UTC,12,Monday
2025-01-27 02:27:37+00:00,6683723062,No case ID,171-6928426-3075534,CustomerReturn,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (include pompa d'aria),NewItem,EUR,27.33,27.33,1,0,1,No original ID,Unknown,2025-01-27,2025-01,UTC,2,Monday
2025-01-25 05:37:50+00:00,6677035522,No case ID,No order ID,Lost_Warehouse,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (include pompa d'aria),NewItem,EUR,27.33,27.33,1,0,1,No original ID,Unknown,2025-01-25,2025-01,UTC,5,Saturday
2025-01-24 14:48:50+00:00,6675092142,No case ID,407-6403972-8731560,CustomerReturn,JW-4PNV-18BT,X001ZWRDZP,B0CZMGFD3S,TUBOPLUS 29PSI X3e (Incluye Bomba de Aire),NewItem,EUR,26.3,26.3,1,0,1,No original ID,Unknown,2025-01-24,2025-01,UTC,14,Friday
2025-01-22 03:14:28+00:00,6661001092,No case ID,406-2949012-1973938,CustomerReturn,35-DQ86-IJB4,X001D1A0DZ,B09266N893,TUBOX3 + Bomba - Presurizador Pelotas Pádel | Multiplica X7 La Vida De Tus Pelotas | Recupera La Presión De Tus Bolas Después De Cada Partido | Bote para 3 Pelotas | Accesorios Pádel,NewItem,EUR,17.74,17.74,1,0,1,No original ID,Unknown,2025-01-22,2025-01,UTC,3,Wednesday
2025-01-19 18:26:26+00:00,6651705412,No case ID,408-1389524-5650752,CustomerReturn,amzn.gr.35-DQ86-IJB4-fTLSzi4gJVA4QQTp-LN,X0026LL7KV,B09266N893,"TUBOPLUS 35-DQ86-IJB4 Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Transparent, 3 Boules",UsedLikeNew,EUR,14.83,14.83,1,0,1,No original ID,Unknown,2025-01-19,2025-01,UTC,18,Sunday
2025-01-19 15:57:16+00:00,6651585512,No case ID,403-4138507-7237103,CustomerReturn,TUBOX3-PINK,X001PQRHT3,B0BTDTN52N,TUBOPLUS TuboX3 Color Pressurizzatore per palline da tennis e paddle | colore rosa,NewItem,EUR,9.39,9.39,1,0,1,No original ID,Unknown,2025-01-19,2025-01,UTC,15,Sunday
2025-01-19 03:35:18+00:00,6649112182,No case ID,No order ID,Lost_Warehouse,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco,NewItem,EUR,8.02,8.02,1,0,1,No original ID,Unknown,2025-01-19,2025-01,UTC,3,Sunday
2025-01-19 03:35:18+00:00,6649112182,No case ID,No order ID,Lost_Warehouse,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco,NewItem,EUR,8.02,8.02,1,0,1,No original ID,Unknown,2025-01-19,2025-01,UTC,3,Sunday
2025-01-12 08:42:00+00:00,6625151312,No case ID,171-4068336-7741129,CustomerReturn,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco,NewItem,EUR,5.44,5.44,1,0,1,No original ID,Unknown,2025-01-12,2025-01,UTC,8,Sunday
2025-01-11 15:49:34+00:00,6623722382,No case ID,403-7151939-0485140,CustomerReturn,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,TuboPlus - Tubox4 Crystal + Pump med tryckmätare Beto - Tennis och Padel Bollar Tryck,NewItem,SEK,271.27,271.27,1,0,1,No original ID,Unknown,2025-01-11,2025-01,UTC,15,Saturday
2025-01-07 17:01:57+00:00,6610533662,No case ID,406-4844089-8841922,CustomerReturn,IB-IKLG-TV8H,X000GERVU5,B0183RZ2VI,TuboPlus- TUBOX3 Orange 2020 tennisbal en paddle drukfles - Spaarballen door een buis !! - Meer leven voor je ballen - Gemaakt in Zaragoza-Spanje -,NewItem,EUR,9.58,9.58,1,0,1,No original ID,Unknown,2025-01-07,2025-01,UTC,17,Tuesday
2025-01-03 04:30:37+00:00,6596895022,No case ID,028-9632113-9864329,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,NewItem,EUR,13.09,13.09,1,0,1,No original ID,Unknown,2025-01-03,2025-01,UTC,4,Friday
2025-01-02 01:58:57+00:00,6593906062,No case ID,302-8071305-7592313,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,NewItem,EUR,13.09,13.09,1,0,1,No original ID,Unknown,2025-01-02,2025-01,UTC,1,Thursday
