asin_parent,asin_child,titulo,sku,sesiones_aplicaciones_de_dispositivos_moviles,sesiones_aplicaciones_de_dispositivos_moviles__b2b,sesiones_navegador,sesiones__navegador__b2b,sesiones_total,sesiones__total__b2b,porcentaje_de_sesiones_aplicacion_movil,porcentaje_de_sesiones__aplicacion_movil__b2b,porcentaje_de_sesiones_navegador,porcentaje_de_sesiones_navegador__b2b,porcentaje_de_sesiones_total,porcentaje_de_sesiones_total__b2b,visitas_de_pagina_aplicacion_de_dispositivo_movil,visitas_aplicaciones_de_dispositivos_moviles__b2b,visitas_navegador,visitas__navegador__b2b,visitas_total,visitas__total__b2b,porcentaje_de_visitas_a_la_pagina_aplicacion_movil,porcentaje_de_visitas_aplicacion_movil__b2b,porcentaje_de_visitas_navegador,porcentaje_de_visitas_navegador__b2b,porcentaje_de_visitas_total,porcentaje_de_visitas__total__b2b,porcentaje_de_ofertas_destacadas_buy_box,porcentaje_de_ofertas_destacadas_b2b,unidades_encargadas,unidades_encargadas__b2b,porcentaje_de_unidades_por_sesion,porcentaje_de_sesiones_de_unidades__b2b,ventas_de_productos_encargados,ventas_de_productos_encargados_b2b,total_de_articulos_de_un_pedido,total_de_articulos_de_un_pedido__b2b
B0BTDS4GYS,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,TUBOX4-CRY-SB,7484,78,3591,80,11075,158,0.146,0.1025,0.1419,0.0789,0.1446,0.08900000000000001,11675,118,5023,114,16698,232,0.1514,0.1048,0.1474,0.0794,0.1502,0.0906,0.8964,0.3418,540,1,0.048799999999999996,0.0063,13859.7,25.0,527,1
B094X476RL,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,MD-R60M-OYR1,4547,98,2348,139,6895,237,0.08869999999999999,0.1288,0.0928,0.1371,0.09,0.1335,7023,154,3120,196,10143,350,0.0911,0.1368,0.0916,0.1366,0.09119999999999999,0.1367,0.9823999999999999,0.9671,441,16,0.064,0.0675,8973.4,326.53,432,15
B07ZTHSVCK,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,UG-965T-RORR,3270,60,1694,98,4964,158,0.0638,0.0788,0.0669,0.0966,0.06480000000000001,0.08900000000000001,4648,95,2153,139,6801,234,0.0603,0.08439999999999999,0.0632,0.0969,0.061200000000000004,0.09140000000000001,0.9917,1.0,224,11,0.0451,0.0696,9394.8,441.9,221,10
B0BTDTVCG2,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,TUBOX3-WHI,1744,24,765,35,2509,59,0.034,0.0315,0.0302,0.0345,0.032799999999999996,0.0332,2636,44,974,43,3610,87,0.0342,0.0391,0.0286,0.03,0.0325,0.034,0.9299,0.4839,192,5,0.0765,0.08470000000000001,3839.5,96.53,185,4
B094X476RL,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,TUBOX3-WHI,1664,16,792,42,2456,58,0.0325,0.021,0.0313,0.0414,0.0321,0.0327,2462,17,1046,70,3508,87,0.0319,0.0151,0.030699999999999998,0.048799999999999996,0.0316,0.034,0.9148999999999999,0.6078,157,2,0.0639,0.0345,3127.87,33.06,152,2
B094X476RL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,4R-VSV0-WZ9Z,577,9,317,22,894,31,0.0113,0.0118,0.0125,0.0217,0.011699999999999999,0.0175,762,11,417,32,1179,43,0.009899999999999999,0.0098,0.012199999999999999,0.0223,0.0106,0.0168,0.9902,1.0,117,3,0.1309,0.0968,2355.68,58.0,113,3
B0C7B3V62X,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,UG-965T-RORR,3306,63,1688,60,4994,123,0.0645,0.0828,0.0667,0.0592,0.0652,0.0693,4744,88,2155,80,6899,168,0.061500000000000006,0.0782,0.0633,0.0557,0.0621,0.06559999999999999,0.9837,1.0,95,5,0.019,0.0407,3975.47,199.95,94,5
B0C7B3V62X,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,84-F0A5-X7S1,3306,63,1688,60,4994,123,0.0645,0.0828,0.0667,0.0592,0.0652,0.0693,4744,88,2155,80,6899,168,0.061500000000000006,0.0782,0.0633,0.0557,0.0621,0.06559999999999999,0.9837,1.0,82,0,0.016399999999999998,0.0,3445.94,0.0,81,0
B094X476RL,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,IB-IKLG-TV8H,828,12,490,33,1318,45,0.0161,0.0158,0.0194,0.0325,0.0172,0.0254,1110,13,618,44,1728,57,0.0144,0.0115,0.0181,0.030699999999999998,0.0155,0.0223,0.5539999999999999,0.2647,60,1,0.0455,0.0222,1177.59,16.53,59,1
B094X476RL,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,TUBOX3-PINK,394,9,193,18,587,27,0.0077,0.0118,0.0076,0.0178,0.0077,0.0152,515,12,253,32,768,44,0.0067,0.010700000000000001,0.0074,0.0223,0.0069,0.0172,0.9937,1.0,59,2,0.1005,0.0741,1184.66,40.0,53,2
B0D22TBKFH,B0D22R7L7D, ,MK-78DJ-J0C2,1161,22,512,21,1673,43,0.0226,0.028900000000000002,0.0202,0.0207,0.0218,0.0242,1679,29,706,26,2385,55,0.0218,0.0258,0.0207,0.0181,0.0215,0.0215,0.9915999999999999,1.0,53,3,0.0317,0.0698,1748.47,98.97,53,3
B0F1F1WKKS,B0F1F2PQPK,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,29PSIX3_CB_2,413,7,209,10,622,17,0.008100000000000001,0.0092,0.0083,0.009899999999999999,0.008100000000000001,0.0096,566,7,297,12,863,19,0.0073,0.0062,0.0087,0.0084,0.0078000000000000005,0.0074,0.9973000000000001,1.0,49,1,0.0788,0.0588,1982.31,42.0,47,1
B0BTDTN52N,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,TUBOX3-PINK,246,3,108,4,354,7,0.0048,0.0039000000000000003,0.0043,0.0039000000000000003,0.0046,0.0039000000000000003,372,4,142,7,514,11,0.0048,0.0036,0.0042,0.0049,0.0046,0.0043,0.9289000000000001,1.0,36,1,0.1017,0.1429,792.36,22.0,35,1
B0183RZ2VI,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,IB-IKLG-TV8H,103,1,52,7,155,8,0.002,0.0013,0.0021,0.0069,0.002,0.0045000000000000005,162,1,82,17,244,18,0.0021,0.0009,0.0024,0.0118,0.0022,0.006999999999999999,0.8632,0.5333,29,0,0.18710000000000002,0.0,585.7,0.0,27,0
B0D87X42RN,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,4R-VSV0-WZ9Z,286,4,137,12,423,16,0.005600000000000001,0.0053,0.0054,0.0118,0.0055000000000000005,0.009000000000000001,387,9,173,17,560,26,0.005,0.008,0.0051,0.0118,0.005,0.0102,0.9799,1.0,19,0,0.0449,0.0,418.0,0.0,19,0
B0F1F1WKKS,B0F1F4FM85,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),29PSIX3_SB,612,11,215,20,827,31,0.011899999999999999,0.014499999999999999,0.0085,0.0197,0.0108,0.0175,850,14,283,22,1133,36,0.011000000000000001,0.0124,0.0083,0.015300000000000001,0.0102,0.0141,0.9952,1.0,19,0,0.023,0.0,603.54,0.0,19,0
B0F1F1WKKS,B0F1F2KX6J,TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,29PSIX4_CB,273,3,125,4,398,7,0.0053,0.0039000000000000003,0.0049,0.0039000000000000003,0.0052,0.0039000000000000003,355,4,155,6,510,10,0.0046,0.0036,0.0045000000000000005,0.0042,0.0046,0.0039000000000000003,0.9911,1.0,12,0,0.0302,0.0,556.77,0.0,11,0
B019Y391L2,B019Y391L2,TUBOPLUS Reposición Junta TÓRICA para TuboX3 y TuboX3 Crystal Ball Pressurizers,ES-C9YX-7X8Y,50,1,53,0,103,1,0.001,0.0013,0.0021,0.0,0.0013,0.0006,95,1,94,0,189,1,0.0012,0.0009,0.0028000000000000004,0.0,0.0017000000000000001,0.0004,0.9940000000000001,1.0,7,0,0.068,0.0,28.0,0.0,7,0
B01LBC2HV0,B01LBC2GWK,TUBOPLUS Goma Fija-Grip DE Color Rosa para Sujetar EL Grip U OVERGRIP Y NO TENGAS LA Necesidad DE Poner LA Cinta Aislante!!,1T-ZK3F-CWMR,38,0,64,1,102,1,0.0007000000000000001,0.0,0.0025,0.001,0.0013,0.0006,53,0,87,1,140,1,0.0007000000000000001,0.0,0.0026,0.0007000000000000001,0.0013,0.0004,0.9764,1.0,5,0,0.049,0.0,15.0,0.0,3,0
B0F1F1WKKS,B0F1F1D2PR,TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),29PSIX4_SB,301,5,108,5,409,10,0.0059,0.0066,0.0043,0.0049,0.0053,0.005600000000000001,361,5,138,9,499,14,0.004699999999999999,0.0044,0.0040999999999999995,0.0063,0.0045000000000000005,0.0055000000000000005,0.9956,1.0,3,0,0.0073,0.0,108.53,0.0,3,0
B094X476RL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,amzn.gr.4R-VSV0-WZ9Z-Ta_1Vy_o1Bf4Y8Hm-LN,577,9,317,22,894,31,0.0113,0.0118,0.0125,0.0217,0.011699999999999999,0.0175,762,11,417,32,1179,43,0.009899999999999999,0.0098,0.012199999999999999,0.0223,0.0106,0.0168,0.9902,1.0,2,0,0.0022,0.0,30.0,0.0,2,0
B094X476RL,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,amzn.gr.MD-R60M-OYR1-41HxW3kwtUaVLwK4-VG,4547,98,2348,139,6895,237,0.08869999999999999,0.1288,0.0928,0.1371,0.09,0.1335,7023,154,3120,196,10143,350,0.0911,0.1368,0.0916,0.1366,0.09119999999999999,0.1367,0.9823999999999999,0.9671,1,0,0.0001,0.0,17.6,0.0,1,0
B0BTDS4GYS,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,amzn.gr.TUBOX4-CRY-SB-8qsTjCHh-850KrB-LN,7484,78,3591,80,11075,158,0.146,0.1025,0.1419,0.0789,0.1446,0.08900000000000001,11675,118,5023,114,16698,232,0.1514,0.1048,0.1474,0.0794,0.1502,0.0906,0.8964,0.3418,1,0,0.0001,0.0,20.33,0.0,1,0
B0BTDS4GYS,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,amzn.gr.TUBOX4-CRY-SB-h73Kukwm9fo2ORG-LN,7484,78,3591,80,11075,158,0.146,0.1025,0.1419,0.0789,0.1446,0.08900000000000001,11675,118,5023,114,16698,232,0.1514,0.1048,0.1474,0.0794,0.1502,0.0906,0.8964,0.3418,1,0,0.0001,0.0,25.62,0.0,1,0
B094X476RL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,amzn.gr.4R-VSV0-WZ9Z-Ta_1Vy_o1Bf4Y8Hm-VG,577,9,317,22,894,31,0.0113,0.0118,0.0125,0.0217,0.011699999999999999,0.0175,762,11,417,32,1179,43,0.009899999999999999,0.0098,0.012199999999999999,0.0223,0.0106,0.0168,0.9902,1.0,1,0,0.0011,0.0,17.6,0.0,1,0
